document_id,employee_id,document_type,document_status,received_date,effective_date,expiration_date,last_updated_date
DOC-00033,EMP-0015,I-9,Complete,2026-03-16,2026-03-15,,2026-08-13
DOC-00034,EMP-0016,Offer Letter,Complete,2023-05-01,2023-05-05,,2025-09-06
DOC-00035,EMP-0016,I-9,Complete,2023-05-07,2023-05-05,,2025-04-21
DOC-00036,EMP-0017,Offer Letter,Complete,2024-03-12,2024-03-19,,2025-07-06
DOC-00037,EMP-0017,I-9,Complete,2024-03-21,2024-03-19,,2026-02-14
DOC-00038,EMP-0018,Offer Letter,Complete,2025-11-11,2025-11-13,,2026-04-19
DOC-00039,EMP-0018,I-9,Complete,2025-11-13,2025-11-13,,2026-02-27
DOC-00040,EMP-0019,Offer Letter,Complete,2016-05-31,2016-05-31,,2024-05-16
DOC-00041,EMP-0019,I-9,Complete,2016-05-31,2016-05-31,,2021-05-17
DOC-00042,EMP-0020,Offer Letter,Complete,2020-05-16,2020-05-18,,2021-10-09
DOC-00043,EMP-0020,I-9,Complete,2020-05-20,2020-05-18,,2026-06-11
DOC-00044,EMP-0021,Offer Letter,Complete,2021-01-23,2021-01-29,,2022-01-08
DOC-00045,EMP-0021,I-9,Complete,2021-01-31,2021-01-29,,2025-11-11
DOC-00046,EMP-0022,Offer Letter,Complete,2018-09-16,2018-09-25,,2020-05-04
DOC-00047,EMP-0022,I-9,Complete,2018-09-28,2018-09-25,,2020-10-07
DOC-00048,EMP-0022,Offboarding Form,Complete,2022-08-24,2022-08-24,,2026-08-29
DOC-00049,EMP-0023,Offer Letter,Complete,2025-02-04,2025-02-05,,2025-09-06
DOC-00050,EMP-0023,I-9,Complete,2025-02-08,2025-02-05,,2025-09-08
DOC-00051,EMP-0024,Offer Letter,Complete,2017-01-27,2017-02-04,,2018-09-02
DOC-00052,EMP-0024,I-9,Complete,2017-02-04,2017-02-04,,2019-08-27
DOC-00053,EMP-0025,Offer Letter,Complete,2022-11-14,2022-11-21,,2025-10-29
DOC-00054,EMP-0025,I-9,Complete,2022-11-23,2022-11-21,,2023-08-14
DOC-00055,EMP-0026,Offer Letter,Complete,2021-08-13,2021-08-23,,2024-01-03
DOC-00056,EMP-0026,I-9,Complete,2021-08-25,2021-08-23,,2022-02-14
DOC-00057,EMP-0026,Offboarding Form,Complete,2026-02-22,2026-02-22,,2026-08-29
DOC-00058,EMP-0027,Offer Letter,Complete,2017-05-11,2017-05-16,,2025-11-06
DOC-00059,EMP-0027,I-9,Complete,2017-05-17,2017-05-16,,2024-06-28
DOC-00060,EMP-0028,Offer Letter,Complete,2022-09-09,2022-09-11,,2025-08-28
DOC-00061,EMP-0028,I-9,Complete,2022-09-14,2022-09-11,,2025-05-31
DOC-00062,EMP-0029,Offer Letter,Complete,2020-12-02,2020-12-12,,2021-10-26
DOC-00063,EMP-0029,I-9,Complete,2020-12-12,2020-12-12,,2025-06-05
DOC-00064,EMP-0029,Offboarding Form,Complete,2023-06-25,2023-06-25,,2026-08-29
DOC-00065,EMP-0030,Offer Letter,Complete,2026-06-03,2026-06-07,,2026-07-15
DOC-00066,EMP-0030,I-9,Complete,2026-06-07,2026-06-07,,2026-06-27
DOC-00067,EMP-0031,Offer Letter,Complete,2019-08-23,2019-09-02,,2022-01-22
DOC-00068,EMP-0031,I-9,Complete,2019-09-05,2019-09-02,,2020-02-26
DOC-00069,EMP-0032,Offer Letter,Complete,2018-07-12,2018-07-22,,2022-11-25
DOC-00070,EMP-0032,I-9,Complete,2018-07-24,2018-07-22,,2026-02-05
DOC-00071,EMP-0033,Offer Letter,Complete,2021-06-26,2021-06-26,,2023-08-09
DOC-00072,EMP-0033,I-9,Complete,2021-06-27,2021-06-26,,2021-12-17
DOC-00073,EMP-0034,Offer Letter,Complete,2017-07-25,2017-07-29,,2023-06-19
DOC-00074,EMP-0034,I-9,Complete,2017-07-30,2017-07-29,,2021-10-19
DOC-00075,EMP-0035,Offer Letter,Complete,2023-08-02,2023-08-10,,2025-08-04
DOC-00076,EMP-0035,I-9,Complete,2023-08-13,2023-08-10,,2026-04-22
DOC-00077,EMP-0036,Offer Letter,Complete,2022-01-31,2022-02-09,,2023-02-04
DOC-00078,EMP-0036,I-9,Complete,2022-02-11,2022-02-09,,2022-02-13
DOC-00079,EMP-0036,Offboarding Form,Complete,2025-05-01,2025-05-01,,2026-08-29
DOC-00080,EMP-0037,Offer Letter,Complete,2020-06-19,2020-06-29,,2023-06-23
DOC-00081,EMP-0037,I-9,Complete,2020-06-29,2020-06-29,,2024-11-21
DOC-00082,EMP-0037,Offboarding Form,Complete,2021-02-13,2021-02-13,,2026-08-29
DOC-00083,EMP-0038,Offer Letter,Complete,2016-12-24,2016-12-29,,2022-07-30
DOC-00084,EMP-0038,I-9,Complete,2017-01-01,2016-12-29,,2025-03-21
DOC-00085,EMP-0039,Offer Letter,Complete,2026-01-21,2026-01-24,,2026-03-01
DOC-00086,EMP-0039,I-9,Complete,2026-01-26,2026-01-24,,2026-03-02
DOC-00087,EMP-0040,Offer Letter,Complete,2019-04-20,2019-04-20,,2021-01-27
DOC-00088,EMP-0040,I-9,Complete,2019-04-23,2019-04-20,,2022-09-11
DOC-00089,EMP-0041,Offer Letter,Complete,2025-06-16,2025-06-26,,2025-06-26
DOC-00090,EMP-0041,I-9,Complete,2025-06-29,2025-06-26,,2026-07-01
DOC-00091,EMP-0041,Offboarding Form,Complete,2026-04-24,2026-04-24,,2026-08-29
DOC-00092,EMP-0042,Offer Letter,Complete,2023-03-05,2023-03-12,,2025-01-08
DOC-00093,EMP-0042,I-9,Complete,2023-03-12,2023-03-12,,2024-03-22
DOC-00094,EMP-0043,Offer Letter,Complete,2024-06-25,2024-06-30,,2025-10-15
DOC-00095,EMP-0043,I-9,Complete,2024-07-03,2024-06-30,,2025-09-05
DOC-00096,EMP-0044,Offer Letter,Complete,2021-02-01,2021-02-04,,2025-04-20
DOC-00097,EMP-0044,I-9,Complete,2021-02-04,2021-02-04,,2024-07-28
DOC-00098,EMP-0044,Offboarding Form,Complete,2023-11-07,2023-11-07,,2026-08-29
DOC-00099,EMP-0045,Offer Letter,Complete,2018-04-22,2018-05-01,,2019-01-27
DOC-00100,EMP-0045,I-9,Complete,2018-05-04,2018-05-01,,2020-06-08
DOC-00101,EMP-0045,Offboarding Form,Complete,2022-11-24,2022-11-24,,2026-08-29
DOC-00102,EMP-0046,Offer Letter,Complete,2024-01-28,2024-02-02,,2025-06-20
DOC-00103,EMP-0046,I-9,Complete,2024-02-03,2024-02-02,,2024-06-09
DOC-00104,EMP-0047,Offer Letter,Complete,2022-04-10,2022-04-11,,2025-08-11
DOC-00105,EMP-0047,I-9,Complete,2022-04-12,2022-04-11,,2025-01-18
DOC-00106,EMP-0047,Offboarding Form,Complete,2023-03-30,2023-03-30,,2026-08-29
DOC-00107,EMP-0048,Offer Letter,Complete,2018-04-23,2018-05-03,,2023-06-18
DOC-00108,EMP-0048,I-9,Complete,2018-05-06,2018-05-03,,2022-10-14
DOC-00109,EMP-0049,Offer Letter,Complete,2019-12-07,2019-12-16,,2023-02-04
DOC-00110,EMP-0049,I-9,Complete,2019-12-18,2019-12-16,,2024-10-25
DOC-00111,EMP-0050,Offer Letter,Complete,2021-09-25,2021-10-03,,2024-08-26
DOC-00112,EMP-0050,I-9,Complete,2021-10-05,2021-10-03,,2026-07-11
DOC-00113,EMP-0051,Offer Letter,Complete,2022-12-10,2022-12-16,,2025-09-08
DOC-00114,EMP-0051,I-9,Complete,2022-12-18,2022-12-16,,2024-08-26
DOC-00115,EMP-0052,Offer Letter,Complete,2025-08-21,2025-08-27,,2025-12-01
DOC-00116,EMP-0052,I-9,Complete,2025-08-28,2025-08-27,,2025-11-27
DOC-00117,EMP-0053,Offer Letter,Complete,2017-03-22,2017-03-27,,2017-05-27
DOC-00118,EMP-0053,I-9,Complete,2017-03-29,2017-03-27,,2017-04-27
DOC-00119,EMP-0054,Offer Letter,Complete,2024-07-24,2024-08-02,,2026-05-05
DOC-00120,EMP-0054,I-9,Complete,2024-08-04,2024-08-02,,2025-05-14
DOC-00121,EMP-0055,Offer Letter,Complete,2021-01-06,2021-01-13,,2026-07-10
DOC-00122,EMP-0055,I-9,Complete,2021-01-16,2021-01-13,,2021-05-30
DOC-00123,EMP-0055,Offboarding Form,Complete,2025-09-22,2025-09-22,,2026-08-29
DOC-00124,EMP-0056,Offer Letter,Complete,2017-10-24,2017-10-27,,2022-08-10
DOC-00125,EMP-0056,I-9,Complete,2017-10-27,2017-10-27,,2019-05-03
DOC-00126,EMP-0057,Offer Letter,Complete,2025-12-27,2025-12-30,,2026-03-07
DOC-00127,EMP-0057,I-9,Complete,2025-12-30,2025-12-30,,2026-02-03
DOC-00128,EMP-0058,Offer Letter,Complete,2020-06-14,2020-06-16,,2023-06-03
DOC-00129,EMP-0058,I-9,Complete,2020-06-18,2020-06-16,,2022-11-04
DOC-00130,EMP-0058,Offboarding Form,Complete,2020-10-07,2020-10-07,,2026-08-29
DOC-00131,EMP-0059,Offer Letter,Complete,2024-06-24,2024-07-04,,2025-03-10
DOC-00132,EMP-0059,I-9,Complete,2024-07-06,2024-07-04,,2025-02-24
DOC-00133,EMP-0060,Offer Letter,Complete,2022-07-06,2022-07-09,,2026-06-07
DOC-00134,EMP-0060,I-9,Complete,2022-07-10,2022-07-09,,2023-07-08
DOC-00135,EMP-0061,Offer Letter,Complete,2018-01-13,2018-01-17,,2022-11-04
DOC-00136,EMP-0061,I-9,Complete,2018-01-17,2018-01-17,,2019-12-03
DOC-00137,EMP-0061,Offboarding Form,Complete,2019-02-26,2019-02-26,,2026-08-29
DOC-00138,EMP-0062,Offer Letter,Complete,2023-11-22,2023-11-25,,2026-03-10
DOC-00139,EMP-0062,I-9,Complete,2023-11-25,2023-11-25,,2025-04-12
DOC-00140,EMP-0063,Offer Letter,Complete,2016-09-12,2016-09-15,,2025-10-26
DOC-00141,EMP-0063,I-9,Complete,2016-09-17,2016-09-15,,2018-06-10
DOC-00142,EMP-0064,Offer Letter,Complete,2016-06-12,2016-06-21,,2026-06-08
DOC-00143,EMP-0064,I-9,Complete,2016-06-24,2016-06-21,,2021-07-01
DOC-00144,EMP-0065,Offer Letter,Complete,2022-10-26,2022-10-27,,2026-06-22
DOC-00145,EMP-0065,I-9,Complete,2022-10-27,2022-10-27,,2025-09-20
DOC-00146,EMP-0066,Offer Letter,Complete,2024-05-13,2024-05-16,,2025-09-28
DOC-00147,EMP-0066,I-9,Complete,2024-05-19,2024-05-16,,2024-10-20
DOC-00148,EMP-0067,Offer Letter,Complete,2025-06-29,2025-06-29,,2025-10-13
DOC-00149,EMP-0067,I-9,Complete,2025-06-30,2025-06-29,,2025-08-03
DOC-00150,EMP-0068,Offer Letter,Complete,2024-02-24,2024-03-03,,2026-07-24
DOC-00151,EMP-0068,I-9,Complete,2024-03-05,2024-03-03,,2024-10-07
DOC-00152,EMP-0069,Offer Letter,Complete,2016-08-31,2016-09-01,,2026-08-13
DOC-00153,EMP-0069,I-9,Complete,2016-09-03,2016-09-01,,2026-05-19
DOC-00154,EMP-0070,Offer Letter,Complete,2026-05-14,2026-05-22,,2026-06-25
DOC-00155,EMP-0070,I-9,Complete,2026-05-24,2026-05-22,,2026-07-10
DOC-00156,EMP-0071,Offer Letter,Complete,2019-02-02,2019-02-11,,2024-02-02
DOC-00157,EMP-0071,I-9,Complete,2019-02-12,2019-02-11,,2020-01-21
DOC-00158,EMP-0072,Offer Letter,Complete,2023-04-04,2023-04-05,,2024-09-06
DOC-00159,EMP-0072,I-9,Complete,2023-04-06,2023-04-05,,2025-03-01
DOC-00160,EMP-0073,Offer Letter,Complete,2026-04-28,2026-05-05,,2026-06-19
DOC-00161,EMP-0073,I-9,Complete,2026-05-08,2026-05-05,,2026-06-02
DOC-00162,EMP-0074,Offer Letter,Complete,2018-05-14,2018-05-14,,2021-05-14
DOC-00163,EMP-0074,I-9,Complete,2018-05-15,2018-05-14,,2024-09-30
DOC-00164,EMP-0075,Offer Letter,Complete,2020-08-16,2020-08-17,,2023-09-07
DOC-00165,EMP-0075,I-9,Complete,2020-08-17,2020-08-17,,2023-05-24
DOC-00166,EMP-0076,Offer Letter,Complete,2016-01-26,2016-02-04,,2019-07-20
DOC-00167,EMP-0076,I-9,Complete,2016-02-07,2016-02-04,,2022-07-15
DOC-00168,EMP-0077,Offer Letter,Complete,2020-07-29,2020-08-07,,2021-10-31
DOC-00169,EMP-0077,I-9,Complete,2020-08-08,2020-08-07,,2026-08-11
DOC-00170,EMP-0078,Offer Letter,Complete,2025-11-17,2025-11-20,,2025-12-25
DOC-00171,EMP-0078,I-9,Complete,2025-11-20,2025-11-20,,2026-07-08
DOC-00172,EMP-0078,Offboarding Form,Complete,2026-02-08,2026-02-08,,2026-08-29
DOC-00173,EMP-0079,Offer Letter,Complete,2017-05-11,2017-05-18,,2021-12-04
DOC-00174,EMP-0079,I-9,Complete,2017-05-20,2017-05-18,,2018-05-29
DOC-00175,EMP-0080,Offer Letter,Complete,2024-12-23,2024-12-26,,2026-01-13
DOC-00176,EMP-0080,I-9,Complete,2024-12-27,2024-12-26,,2026-08-17
DOC-00177,EMP-0081,Offer Letter,Complete,2017-05-20,2017-05-24,,2020-11-04
DOC-00178,EMP-0081,I-9,Complete,2017-05-24,2017-05-24,,2018-07-02
DOC-00179,EMP-0082,Offer Letter,Complete,2019-05-04,2019-05-08,,2026-01-10
DOC-00180,EMP-0082,I-9,Complete,2019-05-09,2019-05-08,,2021-11-10
DOC-00181,EMP-0083,Offer Letter,Complete,2017-11-14,2017-11-16,,2024-10-23
DOC-00182,EMP-0083,I-9,Complete,2017-11-19,2017-11-16,,2018-01-07
DOC-00183,EMP-0084,Offer Letter,Complete,2022-01-23,2022-02-01,,2024-05-28
DOC-00184,EMP-0084,I-9,Complete,2022-02-03,2022-02-01,,2023-06-18
DOC-00185,EMP-0085,Offer Letter,Complete,2019-01-31,2019-01-31,,2025-09-21
DOC-00186,EMP-0085,I-9,Complete,2019-02-02,2019-01-31,,2024-05-08
DOC-00187,EMP-0086,Offer Letter,Complete,2016-08-09,2016-08-16,,2023-06-30
DOC-00188,EMP-0086,I-9,Complete,2016-08-18,2016-08-16,,2024-03-28
DOC-00189,EMP-0087,Offer Letter,Complete,2025-08-27,2025-09-06,,2026-07-14
DOC-00190,EMP-0087,I-9,Complete,2025-09-07,2025-09-06,,2025-09-09
DOC-00191,EMP-0088,Offer Letter,Complete,2024-08-14,2024-08-24,,2025-11-11
DOC-00192,EMP-0088,I-9,Complete,2024-08-27,2024-08-24,,2026-07-30
DOC-00193,EMP-0089,Offer Letter,Complete,2021-01-07,2021-01-13,,2024-09-21
DOC-00194,EMP-0089,I-9,Complete,2021-01-14,2021-01-13,,2022-08-23
DOC-00195,EMP-0090,Offer Letter,Complete,2019-06-11,2019-06-18,,2021-05-04
DOC-00196,EMP-0090,I-9,Complete,2019-06-21,2019-06-18,,2021-01-14
DOC-00197,EMP-0091,Offer Letter,Complete,2023-01-26,2023-01-27,,2025-08-28
DOC-00198,EMP-0091,I-9,Complete,2023-01-29,2023-01-27,,2026-03-04
DOC-00199,EMP-0092,Offer Letter,Complete,2019-04-27,2019-04-28,,2025-09-04
DOC-00200,EMP-0092,I-9,Complete,2019-04-30,2019-04-28,,2021-10-13
DOC-00201,EMP-0093,Offer Letter,Complete,2017-04-26,2017-05-03,,2024-08-19
DOC-00202,EMP-0093,I-9,Complete,2017-05-05,2017-05-03,,2024-10-13
DOC-00203,EMP-0094,Offer Letter,Complete,2023-09-27,2023-10-02,,2025-12-18
DOC-00204,EMP-0094,I-9,Complete,2023-10-05,2023-10-02,,2025-08-15
DOC-00205,EMP-0095,Offer Letter,Complete,2016-10-10,2016-10-12,,2017-11-17
DOC-00206,EMP-0095,I-9,Complete,2016-10-13,2016-10-12,,2020-12-11
DOC-00207,EMP-0096,Offer Letter,Complete,2017-07-11,2017-07-14,,2019-11-27
DOC-00208,EMP-0096,I-9,Complete,2017-07-17,2017-07-14,,2023-01-03
DOC-00209,EMP-0097,Offer Letter,Complete,2023-01-10,2023-01-15,,2025-01-26
DOC-00210,EMP-0097,I-9,Complete,2023-01-18,2023-01-15,,2023-04-15
DOC-00211,EMP-0097,Offboarding Form,Complete,2026-02-21,2026-02-21,,2026-08-29
DOC-00212,EMP-0098,Offer Letter,Complete,2016-08-21,2016-08-25,,2021-01-13
DOC-00213,EMP-0098,I-9,Complete,2016-08-28,2016-08-25,,2022-02-04
DOC-00214,EMP-0099,Offer Letter,Complete,2018-03-04,2018-03-11,,2021-01-18
DOC-00215,EMP-0099,I-9,Complete,2018-03-13,2018-03-11,,2023-11-04
DOC-00216,EMP-0100,Offer Letter,Complete,2020-11-30,2020-11-30,,2021-06-18
DOC-00217,EMP-0100,I-9,Complete,2020-11-30,2020-11-30,,2024-09-29
DOC-00218,EMP-0101,Offer Letter,Complete,2021-02-19,2021-02-20,,2026-03-20
DOC-00219,EMP-0101,I-9,Complete,2021-02-21,2021-02-20,,2022-07-30
DOC-00220,EMP-0102,Offer Letter,Complete,2015-12-28,2016-01-01,,2025-09-26
DOC-00221,EMP-0102,I-9,Complete,2016-01-04,2016-01-01,,2022-01-03
DOC-00222,EMP-0103,Offer Letter,Complete,2021-03-07,2021-03-07,,2024-06-29
DOC-00223,EMP-0103,I-9,Complete,2021-03-08,2021-03-07,,2024-11-05
DOC-00224,EMP-0104,Offer Letter,Complete,2018-01-04,2018-01-13,,2019-06-06
DOC-00225,EMP-0104,I-9,Complete,2018-01-13,2018-01-13,,2025-06-08
DOC-00226,EMP-0105,Offer Letter,Complete,2023-09-27,2023-09-28,,2024-07-12
DOC-00227,EMP-0105,I-9,Complete,2023-09-28,2023-09-28,,2024-10-26
DOC-00228,EMP-0106,Offer Letter,Complete,2023-05-03,2023-05-11,,2026-05-10
DOC-00229,EMP-0106,I-9,Complete,2023-05-11,2023-05-11,,2024-11-21
DOC-00230,EMP-0107,Offer Letter,Complete,2023-09-17,2023-09-17,,2026-07-07
DOC-00231,EMP-0107,I-9,Complete,2023-09-20,2023-09-17,,2024-09-04
DOC-00232,EMP-0108,Offer Letter,Complete,2016-11-29,2016-12-03,,2022-09-17
DOC-00233,EMP-0108,I-9,Complete,2016-12-03,2016-12-03,,2019-08-15
DOC-00234,EMP-0109,Offer Letter,Complete,2017-05-04,2017-05-06,,2022-05-29
DOC-00235,EMP-0109,I-9,Complete,2017-05-09,2017-05-06,,2020-07-29
DOC-00236,EMP-0110,Offer Letter,Complete,2017-01-23,2017-01-31,,2023-09-30
DOC-00237,EMP-0110,I-9,Complete,2017-02-02,2017-01-31,,2023-08-19
DOC-00238,EMP-0111,Offer Letter,Complete,2016-08-25,2016-08-25,,2021-11-16
DOC-00239,EMP-0111,I-9,Complete,2016-08-27,2016-08-25,,2025-07-25
DOC-00240,EMP-0112,Offer Letter,Complete,2025-12-11,2025-12-21,,2026-02-16
DOC-00241,EMP-0112,I-9,Complete,2025-12-23,2025-12-21,,2026-06-10
DOC-00242,EMP-0113,Offer Letter,Complete,2016-03-25,2016-03-27,,2017-01-04
DOC-00243,EMP-0113,I-9,Complete,2016-03-29,2016-03-27,,2021-01-02
DOC-00244,EMP-0114,Offer Letter,Complete,2025-02-21,2025-02-21,,2026-07-16
DOC-00245,EMP-0114,I-9,Complete,2025-02-22,2025-02-21,,2025-03-30
DOC-00246,EMP-0115,Offer Letter,Complete,2022-05-20,2022-05-26,,2026-07-06
DOC-00247,EMP-0115,I-9,Complete,2022-05-27,2022-05-26,,2023-11-20
DOC-00248,EMP-0116,Offer Letter,Complete,2018-04-30,2018-05-02,,2021-10-15
DOC-00249,EMP-0116,I-9,Complete,2018-05-05,2018-05-02,,2026-05-26
DOC-00250,EMP-0117,Offer Letter,Complete,2025-05-24,2025-05-28,,2026-02-16
DOC-00251,EMP-0117,I-9,Complete,2025-05-31,2025-05-28,,2026-01-29
DOC-00252,EMP-0117,Offboarding Form,Complete,2025-08-24,2025-08-24,,2026-08-29
DOC-00253,EMP-0118,Offer Letter,Complete,2020-07-31,2020-08-07,,2021-03-03
DOC-00254,EMP-0118,I-9,Complete,2020-08-08,2020-08-07,,2023-07-05
DOC-00255,EMP-0119,Offer Letter,Complete,2019-11-07,2019-11-16,,2020-03-27
DOC-00256,EMP-0119,I-9,Complete,2019-11-17,2019-11-16,,2022-07-20
DOC-00257,EMP-0120,Offer Letter,Complete,2022-09-06,2022-09-14,,2024-09-12
DOC-00258,EMP-0120,I-9,Complete,2022-09-17,2022-09-14,,2025-08-25
DOC-00259,EMP-0121,Offer Letter,Complete,2019-09-27,2019-09-29,,2023-05-29
DOC-00260,EMP-0121,I-9,Complete,2019-10-02,2019-09-29,,2021-01-21
DOC-00261,EMP-0122,Offer Letter,Complete,2022-10-21,2022-10-24,,2025-05-23
DOC-00262,EMP-0122,I-9,Complete,2022-10-25,2022-10-24,,2023-05-20
DOC-00263,EMP-0122,Offboarding Form,Complete,2025-05-11,2025-05-11,,2026-08-29
DOC-00264,EMP-0123,Offer Letter,Complete,2019-05-25,2019-06-03,,2025-09-01
DOC-00265,EMP-0123,I-9,Complete,2019-06-04,2019-06-03,,2022-09-08
DOC-00266,EMP-0123,Offboarding Form,Complete,2022-04-10,2022-04-10,,2026-08-29
DOC-00267,EMP-0124,Offer Letter,Complete,2023-02-08,2023-02-08,,2023-04-22
DOC-00268,EMP-0124,I-9,Complete,2023-02-11,2023-02-08,,2025-05-26
DOC-00269,EMP-0125,Offer Letter,Complete,2018-06-17,2018-06-21,,2018-08-22
DOC-00270,EMP-0125,I-9,Complete,2018-06-23,2018-06-21,,2020-11-17
DOC-00271,EMP-0126,Offer Letter,Complete,2022-05-13,2022-05-19,,2023-08-11
DOC-00272,EMP-0126,I-9,Complete,2022-05-19,2022-05-19,,2024-09-25
DOC-00273,EMP-0127,Offer Letter,Complete,2021-07-18,2021-07-18,,2024-07-13
DOC-00274,EMP-0127,I-9,Complete,2021-07-21,2021-07-18,,2024-11-18
DOC-00275,EMP-0128,Offer Letter,Complete,2018-09-09,2018-09-18,,2024-03-03
DOC-00276,EMP-0128,I-9,Complete,2018-09-19,2018-09-18,,2023-04-22
DOC-00277,EMP-0128,Offboarding Form,Complete,2026-04-24,2026-04-24,,2026-08-29
DOC-00278,EMP-0129,Offer Letter,Complete,2021-06-12,2021-06-13,,2025-01-23
DOC-00279,EMP-0129,I-9,Complete,2021-06-15,2021-06-13,,2026-06-20
DOC-00280,EMP-0130,Offer Letter,Complete,2024-10-25,2024-11-01,,2025-10-19
DOC-00281,EMP-0130,I-9,Complete,2024-11-01,2024-11-01,,2025-06-19
DOC-00282,EMP-0131,Offer Letter,Complete,2021-06-29,2021-07-04,,2026-07-21
DOC-00283,EMP-0131,I-9,Complete,2021-07-07,2021-07-04,,2023-04-29
DOC-00284,EMP-0132,Offer Letter,Complete,2024-10-03,2024-10-05,,2025-05-29
DOC-00285,EMP-0132,I-9,Complete,2024-10-07,2024-10-05,,2025-09-29
DOC-00286,EMP-0133,Offer Letter,Complete,2024-03-18,2024-03-18,,2024-09-10
DOC-00287,EMP-0133,I-9,Complete,2024-03-21,2024-03-18,,2024-04-16
DOC-00288,EMP-0133,Offboarding Form,Complete,2026-05-28,2026-05-28,,2026-08-29
DOC-00289,EMP-0134,Offer Letter,Complete,2018-09-02,2018-09-05,,2020-10-19
DOC-00290,EMP-0134,I-9,Complete,2018-09-05,2018-09-05,,2024-05-31
DOC-00291,EMP-0135,Offer Letter,Complete,2024-11-30,2024-11-30,,2024-12-04
DOC-00292,EMP-0135,I-9,Complete,2024-11-30,2024-11-30,,2025-08-03
DOC-00293,EMP-0136,Offer Letter,Complete,2016-08-29,2016-08-31,,2024-11-09
DOC-00294,EMP-0136,I-9,Complete,2016-09-01,2016-08-31,,2019-07-18
DOC-00295,EMP-0137,Offer Letter,Complete,2021-02-10,2021-02-15,,2024-06-27
DOC-00296,EMP-0137,I-9,Complete,2021-02-15,2021-02-15,,2023-10-16
DOC-00297,EMP-0138,Offer Letter,Complete,2019-11-16,2019-11-20,,2021-06-19
DOC-00298,EMP-0138,I-9,Complete,2019-11-20,2019-11-20,,2022-05-17
DOC-00299,EMP-0139,Offer Letter,Complete,2023-10-25,2023-10-25,,2026-03-29
DOC-00300,EMP-0139,I-9,Complete,2023-10-27,2023-10-25,,2024-08-14
DOC-00301,EMP-0140,Offer Letter,Complete,2025-02-20,2025-02-26,,2025-10-03
DOC-00302,EMP-0140,I-9,Complete,2025-02-26,2025-02-26,,2026-06-04
DOC-00303,EMP-0140,Offboarding Form,Complete,2025-04-18,2025-04-18,,2026-08-29
DOC-00304,EMP-0141,Offer Letter,Complete,2020-05-29,2020-06-08,,2025-05-23
DOC-00305,EMP-0141,I-9,Complete,2020-06-09,2020-06-08,,2021-07-05
DOC-00306,EMP-0142,Offer Letter,Complete,2023-02-17,2023-02-20,,2024-12-04
DOC-00307,EMP-0142,I-9,Complete,2023-02-21,2023-02-20,,2025-02-01
