change_id,employee_id,change_type,old_value,new_value,effective_date,request_date,processed_date,change_status
CHG-0105,EMP-0637,Compensation Change,55000,60000,2024-01-26,2024-01-11,2024-01-29,Completed
CHG-0106,EMP-0297,Manager Change,EMP-0001,EMP-0248,2024-01-09,2024-01-07,2024-01-09,Completed
CHG-0107,EMP-0980,Department Change,Operations,Sales,2024-02-08,2024-02-02,2024-02-09,Completed
CHG-0108,EMP-0255,Department Change,Operations,Operations,2025-08-19,2025-08-10,2025-08-17,Completed
CHG-0109,EMP-0359,Manager Change,EMP-0001,EMP-0352,2025-02-20,2025-02-18,2025-02-25,Completed
CHG-0110,EMP-0359,Compensation Change,121000,126000,2024-05-01,2024-04-16,2024-05-03,Completed
CHG-0111,EMP-0359,Job Title Change,Previous Role,Senior Software Engineer,2025-09-12,2025-09-09,2025-09-12,Completed
CHG-0112,EMP-0414,Department Change,Operations,Engineering,2026-08-09,2026-07-26,2026-08-14,Completed
CHG-0113,EMP-0735,Compensation Change,137000,145000,2024-01-14,2023-12-28,2024-01-18,Completed
CHG-0114,EMP-0087,Department Change,Operations,Customer Success,2026-07-11,2026-06-28,2026-07-09,Completed
CHG-0115,EMP-0854,Manager Change,EMP-0001,EMP-0458,2025-11-01,2025-10-26,2025-11-01,Completed
CHG-0116,EMP-0848,Job Title Change,Previous Role,Senior Product Manager,2025-06-14,2025-06-11,2025-06-15,Completed
CHG-0117,EMP-0681,Job Title Change,Previous Role,Senior Data Analyst,2024-11-07,2024-10-18,2024-11-12,Completed
CHG-0118,EMP-0243,Compensation Change,79000,82000,2025-09-13,2025-09-04,2025-09-11,Completed
CHG-0119,EMP-0606,Compensation Change,138000,141000,2025-08-18,2025-08-07,2025-08-19,Completed
CHG-0120,EMP-0042,Job Title Change,Previous Role,Senior Product Manager,2026-08-15,2026-08-11,2026-08-17,Completed
CHG-0121,EMP-0042,Manager Change,EMP-0001,EMP-0012,2024-10-17,2024-10-01,2024-10-20,Completed
CHG-0122,EMP-0460,Compensation Change,106000,109000,2024-09-04,2024-09-01,2024-09-05,Completed
CHG-0123,EMP-0034,Compensation Change,103000,106000,2025-12-25,2025-12-23,2025-12-25,Completed
CHG-0124,EMP-0350,Compensation Change,96000,101000,2026-04-23,2026-04-13,2026-04-28,Completed
CHG-0125,EMP-0659,Job Title Change,Previous Role,Engineering Manager,2026-04-17,2026-04-01,2026-04-17,Completed
CHG-0126,EMP-0659,Job Title Change,Previous Role,Engineering Manager,2026-01-25,2026-01-23,2026-01-30,Completed
CHG-0127,EMP-0457,Manager Change,EMP-0001,EMP-0395,2024-11-23,2024-11-13,2024-11-21,Completed
CHG-0128,EMP-0961,Department Change,Operations,Customer Success,2026-08-21,2026-08-06,2026-08-23,Completed
CHG-0129,EMP-0268,Compensation Change,69000,79000,2024-03-28,2024-03-11,2024-03-27,Completed
CHG-0130,EMP-0991,Manager Change,EMP-0001,EMP-0752,2025-07-20,2025-07-01,2025-07-24,Completed
CHG-0131,EMP-0926,Department Change,Operations,Marketing,2024-06-03,2024-05-22,2024-06-06,Completed
CHG-0132,EMP-0600,Compensation Change,52000,57000,2025-10-13,2025-10-03,2025-10-14,Completed
CHG-0133,EMP-0418,Job Title Change,Previous Role,Operations Manager,2025-12-12,2025-12-03,2025-12-17,Completed
CHG-0134,EMP-0596,Manager Change,EMP-0001,EMP-0411,2026-01-29,2026-01-27,2026-02-01,Completed
CHG-0135,EMP-0596,Job Title Change,Previous Role,Senior CSM,2026-04-05,2026-03-17,2026-04-07,Completed
CHG-0136,EMP-0704,Department Change,Operations,Sales,2025-06-09,2025-05-25,2025-06-13,Completed
CHG-0137,EMP-0300,Department Change,Operations,Sales,2025-08-16,2025-08-02,2025-08-16,Completed
CHG-0138,EMP-0153,Compensation Change,124000,132000,2024-04-17,2024-04-03,2024-04-18,Completed
CHG-0139,EMP-0153,Manager Change,EMP-0001,EMP-0002,2024-07-22,2024-07-09,2024-07-21,Completed
CHG-0140,EMP-0938,Job Title Change,Previous Role,Product Manager,2024-06-13,2024-06-07,2024-06-16,Completed
CHG-0141,EMP-0677,Compensation Change,86000,89000,2026-01-24,2026-01-19,2026-01-22,Completed
CHG-0142,EMP-0841,Job Title Change,Previous Role,Senior Data Analyst,2025-09-12,2025-09-03,2025-09-17,Completed
CHG-0143,EMP-0841,Manager Change,EMP-0001,EMP-0035,2024-05-08,2024-04-19,2024-05-12,Completed
CHG-0144,EMP-0537,Job Title Change,Previous Role,HR Manager,2025-01-22,2025-01-16,2025-01-27,Completed
CHG-0145,EMP-0537,Department Change,Operations,Human Resources,2026-07-27,2026-07-25,2026-09-03,Completed
CHG-0146,EMP-0120,Manager Change,EMP-0001,EMP-0069,2024-06-20,2024-06-07,2024-06-20,Completed
CHG-0147,EMP-0472,Department Change,Operations,Marketing,2026-07-06,2026-06-17,2026-07-05,Completed
CHG-0148,EMP-0158,Manager Change,EMP-0001,EMP-0070,2024-12-01,2024-11-17,2024-12-04,Completed
CHG-0149,EMP-0614,Job Title Change,Previous Role,Analytics Manager,2025-01-26,2025-01-23,2025-01-24,Completed
CHG-0150,EMP-0065,Manager Change,EMP-0001,EMP-0060,2025-08-14,2025-08-03,2025-08-13,Completed
CHG-0151,EMP-0212,Department Change,Operations,Sales,2025-08-31,2025-08-11,2025-08-29,Completed
CHG-0152,EMP-0212,Department Change,Operations,Sales,2026-03-07,2026-03-04,2026-03-10,Completed
CHG-0153,EMP-0550,Department Change,Operations,Product,2026-06-17,2026-06-03,2026-06-15,Completed
CHG-0154,EMP-0266,Department Change,Operations,Product,2025-12-04,2025-11-26,2025-12-08,Completed
CHG-0155,EMP-0726,Compensation Change,120000,128000,2024-10-27,2024-10-08,2024-10-28,Completed
CHG-0156,EMP-0362,Compensation Change,80000,88000,2026-05-17,2026-04-28,2026-05-16,Completed
CHG-0157,EMP-0475,Department Change,Operations,Marketing,2025-05-18,2025-04-29,2025-05-16,Completed
CHG-0158,EMP-0929,Job Title Change,Previous Role,Sales Manager,2024-11-09,2024-11-05,2024-11-14,Completed
CHG-0159,EMP-0923,Manager Change,EMP-0001,EMP-0023,2025-08-06,2025-08-01,2025-08-07,Completed
CHG-0160,EMP-0923,Manager Change,EMP-0001,EMP-0023,2025-08-11,2025-08-03,2025-08-09,Completed
CHG-0161,EMP-0635,Compensation Change,45000,55000,2026-05-28,2026-05-19,2026-05-28,Completed
CHG-0162,EMP-0635,Manager Change,EMP-0001,EMP-0322,2024-09-18,2024-09-13,2024-09-20,Completed
CHG-0163,EMP-0542,Manager Change,EMP-0001,EMP-0318,2026-04-06,2026-03-28,2026-04-10,Completed
CHG-0164,EMP-0542,Compensation Change,126000,129000,2026-08-19,2026-08-11,2026-08-21,Completed
CHG-0165,EMP-0724,Job Title Change,Previous Role,Operations Manager,2025-04-21,2025-04-09,2025-04-23,Completed
CHG-0166,EMP-0972,Department Change,Operations,Engineering,2026-05-02,2026-04-29,2026-04-30,Completed
CHG-0167,EMP-0972,Job Title Change,Previous Role,Senior Software Engineer,2026-06-17,2026-06-08,2026-06-18,Completed
CHG-0168,EMP-0320,Manager Change,EMP-0001,EMP-0255,2026-04-08,2026-04-02,2026-04-09,Completed
CHG-0169,EMP-0680,Job Title Change,Previous Role,Senior Data Analyst,2024-02-25,2024-02-16,2024-02-29,Completed
CHG-0170,EMP-0711,Compensation Change,94000,104000,2025-11-11,2025-10-27,2025-11-15,Completed
CHG-0171,EMP-0744,Manager Change,EMP-0001,EMP-0498,2025-11-09,2025-11-04,2025-11-07,Completed
CHG-0172,EMP-0708,Compensation Change,129000,132000,2025-08-19,2025-08-08,2025-08-17,Completed
CHG-0173,EMP-0708,Department Change,Operations,Data & Analytics,2025-07-29,2025-07-11,2025-07-27,Completed
CHG-0174,EMP-0043,Job Title Change,Previous Role,Marketing Analyst,2026-08-20,2026-08-07,2026-08-22,Completed
CHG-0175,EMP-0043,Compensation Change,94000,99000,2025-10-05,2025-10-01,2025-10-04,Completed
CHG-0176,EMP-0197,Department Change,Operations,Legal,2025-07-29,2025-07-15,2025-07-27,Completed
CHG-0177,EMP-0282,Department Change,Operations,Sales,2025-06-19,2025-06-10,2025-06-18,Completed
CHG-0178,EMP-0016,Manager Change,EMP-0001,EMP-0004,2025-03-23,2025-03-13,2025-03-27,Completed
CHG-0179,EMP-0016,Department Change,Operations,Engineering,2024-12-20,2024-12-02,2024-12-20,Completed
CHG-0180,EMP-0270,Compensation Change,114000,122000,2025-02-22,2025-02-07,2025-02-27,Completed
CHG-0181,EMP-0270,Compensation Change,112000,122000,2025-10-23,2025-10-14,2025-10-24,Completed
CHG-0182,EMP-0647,Manager Change,EMP-0001,EMP-0083,2024-11-24,2024-11-14,2024-11-29,Completed
CHG-0183,EMP-0647,Manager Change,EMP-0001,EMP-0083,2026-01-02,2025-12-31,2026-01-07,Completed
CHG-0184,EMP-0728,Manager Change,EMP-0001,EMP-0069,2026-01-12,2025-12-31,2026-01-16,Completed
CHG-0185,EMP-0396,Compensation Change,149000,154000,2026-04-09,2026-03-20,2026-04-14,Completed
CHG-0186,EMP-0259,Compensation Change,92000,100000,2025-08-03,2025-07-14,2025-08-08,Completed
CHG-0187,EMP-0845,Manager Change,EMP-0001,EMP-0840,2026-05-29,2026-05-16,2026-05-29,Completed
CHG-0188,EMP-0819,Department Change,Operations,Engineering,2026-04-02,2026-03-18,2026-04-05,Completed
CHG-0189,EMP-0819,Compensation Change,126000,136000,2026-07-02,2026-06-12,2026-07-03,Completed
CHG-0190,EMP-0084,Compensation Change,66000,76000,2024-08-26,2024-08-11,2024-08-28,Completed
CHG-0191,EMP-0084,Department Change,Operations,Data & Analytics,2024-03-27,2024-03-13,2024-03-31,Completed
CHG-0192,EMP-0602,Manager Change,EMP-0001,EMP-0398,2024-04-22,2024-04-05,2024-04-22,Completed
CHG-0193,EMP-0221,Manager Change,EMP-0001,EMP-0030,2026-05-02,2026-04-21,2026-05-04,Completed
CHG-0194,EMP-0580,Compensation Change,79000,84000,2025-08-01,2025-07-19,2025-08-06,Completed
CHG-0195,EMP-0580,Compensation Change,79000,84000,2025-08-28,2025-08-11,2025-08-28,Completed
CHG-0196,EMP-0486,Department Change,Operations,Human Resources,2025-12-08,2025-11-27,2025-12-12,Completed
CHG-0197,EMP-0486,Compensation Change,77000,82000,2026-06-14,2026-06-05,2026-06-16,Completed
CHG-0198,EMP-0182,Job Title Change,Previous Role,Systems Analyst,2024-11-25,2024-11-11,2024-11-25,Completed
CHG-0199,EMP-0182,Job Title Change,Previous Role,Systems Analyst,2025-10-13,2025-10-09,2025-10-15,Completed
CHG-0200,EMP-0070,Department Change,Operations,Sales,2026-07-04,2026-07-01,2026-07-06,Completed
CHG-0201,EMP-0258,Compensation Change,117000,122000,2026-03-15,2026-03-13,2026-03-19,Completed
CHG-0202,EMP-0258,Department Change,Operations,Engineering,2025-10-18,2025-10-04,2025-10-17,Completed
CHG-0203,EMP-0041,Job Title Change,Previous Role,HR Manager,2026-07-16,2026-07-11,2026-07-17,Completed
CHG-0204,EMP-0783,Job Title Change,Previous Role,Account Executive,2025-08-24,2025-08-05,2025-08-27,Completed
CHG-0205,EMP-0691,Department Change,Operations,Sales,2024-08-19,2024-08-01,2024-08-22,Completed
CHG-0206,EMP-0441,Manager Change,EMP-0001,EMP-0411,2025-10-14,2025-10-07,,Completed
CHG-0207,EMP-0441,Department Change,Operations,Customer Success,2024-06-09,2024-06-06,2024-06-07,Completed
CHG-0208,EMP-0780,Job Title Change,Previous Role,Product Manager,2026-04-15,2026-04-13,2026-04-18,Completed
CHG-0209,EMP-0815,Compensation Change,136000,139000,2024-04-24,2024-04-17,2024-04-27,Completed
CHG-0210,EMP-0815,Manager Change,EMP-0001,EMP-0265,2025-09-06,2025-08-20,2025-09-05,Completed
CHG-0211,EMP-0885,Compensation Change,70000,78000,2026-04-27,2026-04-12,2026-04-29,Completed
CHG-0212,EMP-0111,Department Change,Operations,Legal,2024-03-06,2024-03-01,2024-03-06,Completed
CHG-0213,EMP-0298,Manager Change,EMP-0001,EMP-0062,2026-07-08,2026-07-04,2026-07-11,Completed
CHG-0214,EMP-0298,Job Title Change,Previous Role,Analytics Manager,2024-02-16,2024-01-31,2024-02-21,Completed
CHG-0215,EMP-0225,Job Title Change,Previous Role,Account Executive,2024-02-12,2024-01-25,2024-02-10,Completed
CHG-0216,EMP-0014,Department Change,Operations,Engineering,2026-08-02,2026-07-28,2026-08-05,Completed
CHG-0217,EMP-0114,Compensation Change,91000,94000,2025-03-28,2025-03-10,2025-04-02,Completed
CHG-0218,EMP-0114,Department Change,Operations,Engineering,2025-10-22,2025-10-06,2025-10-25,Completed
CHG-0219,EMP-0717,Compensation Change,66000,74000,2026-03-25,2026-03-09,2026-03-28,Completed
CHG-0220,EMP-0688,Job Title Change,Previous Role,Software Engineer,2024-05-30,2024-05-15,2024-06-01,Completed
CHG-0221,EMP-0722,Compensation Change,59000,62000,2025-09-30,2025-09-19,2025-10-01,Completed
CHG-0222,EMP-0722,Manager Change,EMP-0001,EMP-0710,2026-06-08,2026-05-23,2026-06-13,Completed
CHG-0223,EMP-0722,Job Title Change,Previous Role,HR Manager,2024-12-18,2024-11-28,2024-12-22,Completed
CHG-0224,EMP-0613,Compensation Change,69000,77000,2025-11-24,2025-11-18,2025-11-27,Completed
CHG-0225,EMP-0333,Job Title Change,Previous Role,Account Executive,2025-11-10,2025-10-30,2025-11-11,Completed
CHG-0226,EMP-0333,Department Change,Operations,Sales,2024-11-22,2024-11-14,2024-11-26,Completed
CHG-0227,EMP-0997,Manager Change,EMP-0001,EMP-0215,2025-08-26,2025-08-07,2025-08-29,Completed
CHG-0228,EMP-0997,Department Change,Operations,Information Technology,2024-03-30,2024-03-15,2024-03-28,Completed
CHG-0229,EMP-0553,Manager Change,EMP-0001,EMP-0062,2024-03-18,2024-03-11,2024-03-22,Completed
CHG-0230,EMP-0117,Compensation Change,60000,68000,2026-04-24,2026-04-14,2026-04-29,Completed
CHG-0231,EMP-0235,Department Change,Operations,Engineering,2024-08-13,2024-08-02,2024-08-12,Completed
CHG-0232,EMP-0235,Compensation Change,91000,101000,2026-07-03,2026-06-24,2026-07-07,Completed
CHG-0233,EMP-0413,Job Title Change,Previous Role,IT Support Specialist,2024-11-21,2024-11-13,2024-11-23,Completed
CHG-0234,EMP-0738,Manager Change,EMP-0001,EMP-0209,2025-11-27,2025-11-24,2025-11-26,Completed
CHG-0235,EMP-0534,Compensation Change,106000,114000,2024-03-05,2024-02-16,2024-03-07,Completed
CHG-0236,EMP-0534,Compensation Change,109000,114000,2026-04-15,2026-04-06,2026-04-13,Completed
CHG-0237,EMP-0261,Department Change,Operations,Product,2026-07-26,2026-07-24,2026-07-26,Completed
CHG-0238,EMP-0432,Job Title Change,Previous Role,Legal Operations Manager,2025-10-07,2025-09-29,2025-10-09,Completed
CHG-0239,EMP-0379,Job Title Change,Previous Role,Engineering Manager,2024-06-07,2024-05-28,2024-06-09,Completed
CHG-0240,EMP-0026,Manager Change,EMP-0001,EMP-0002,2024-07-03,2024-06-27,2024-07-03,Completed
CHG-0241,EMP-0343,Job Title Change,Previous Role,Paralegal,2025-09-27,2025-09-15,2025-09-27,Completed
CHG-0242,EMP-0343,Manager Change,EMP-0001,EMP-0198,2024-11-23,2024-11-16,2024-11-26,Completed
CHG-0243,EMP-0729,Compensation Change,136000,146000,2025-08-22,2025-08-02,2025-08-20,Completed
CHG-0244,EMP-0160,Department Change,Operations,Operations,2025-12-16,2025-12-07,2025-12-19,Completed
CHG-0245,EMP-0825,Department Change,Operations,Data & Analytics,2026-03-09,2026-03-07,2026-03-12,Completed
CHG-0246,EMP-0370,Job Title Change,Previous Role,Sales Manager,2025-12-14,2025-11-27,2025-12-17,Completed
CHG-0247,EMP-0337,Compensation Change,125000,135000,2026-05-28,2026-05-12,2026-05-29,Completed
CHG-0248,EMP-0337,Job Title Change,Previous Role,Sales Manager,2024-05-03,2024-04-24,2024-05-05,Completed
CHG-0249,EMP-0227,Compensation Change,103000,111000,2025-07-18,2025-07-12,2025-07-16,Completed
