employee_id,onboarding_status,onboarding_completion_date,offboarding_status,offboarding_completion_date,payroll_status,direct_deposit_status,tax_form_status,operations_last_updated
EMP-0139,Complete,2023-10-26,Not Applicable,,Active,Complete,Complete,2026-01-25
EMP-0140,Complete,2025-03-04,Complete,2025-04-21,Inactive,Complete,Complete,2026-06-19
EMP-0141,Complete,2020-06-09,Not Applicable,,Active,Complete,Pending,2026-03-20
EMP-0142,Complete,2023-02-24,Not Applicable,,Active,Complete,Complete,2026-03-29
EMP-0143,Complete,2018-11-09,Not Applicable,,Active,Complete,Complete,2026-03-05
EMP-0144,Complete,2024-01-05,Complete,2026-04-23,Inactive,Complete,Complete,2026-04-02
EMP-0145,Complete,2019-12-04,Not Applicable,,Active,Complete,Complete,2026-05-13
EMP-0146,Complete,2022-05-21,Not Applicable,,Active,Complete,Complete,2026-03-13
EMP-0147,Complete,2018-06-17,Not Applicable,,Active,Complete,Complete,2026-06-26
EMP-0148,Complete,2025-07-28,Complete,2025-11-28,Inactive,Complete,Complete,2026-06-20
EMP-0149,Complete,2022-06-26,Not Applicable,,Active,Complete,Complete,2026-05-11
EMP-0150,Complete,2021-04-21,Not Applicable,,Active,Complete,Complete,2026-08-22
EMP-0151,Complete,2018-10-29,Not Applicable,,Active,Complete,Complete,2026-03-19
EMP-0152,Complete,2016-07-31,Not Applicable,,Active,Complete,Complete,2026-03-31
EMP-0153,Complete,2021-11-28,Complete,2025-11-24,Inactive,Complete,Complete,2026-07-31
EMP-0154,Complete,2019-03-31,Not Applicable,,Active,Complete,Complete,2026-02-28
EMP-0155,Complete,2021-11-19,Not Applicable,,Active,Complete,Complete,2026-06-18
EMP-0156,Complete,2017-08-03,Not Applicable,,Active,Complete,Complete,2026-03-30
EMP-0157,Complete,2024-12-25,Not Applicable,,Active,Complete,Complete,2026-02-12
EMP-0158,Complete,2018-03-17,Not Applicable,,Active,Complete,Complete,2026-03-10
EMP-0159,Complete,2016-09-04,Not Applicable,,Active,Complete,Complete,2026-02-11
EMP-0160,Complete,2023-07-23,Not Applicable,,Active,Complete,Complete,2026-07-07
EMP-0161,Complete,2026-01-26,Not Applicable,,Active,Complete,Complete,2026-05-02
EMP-0162,Complete,2016-06-05,Complete,2024-02-12,Inactive,Complete,Complete,2026-07-11
EMP-0163,Complete,2017-05-30,Not Applicable,,Active,Complete,Complete,2026-05-09
EMP-0164,Complete,2016-05-29,Not Applicable,,Active,Complete,Complete,2026-03-12
EMP-0165,Complete,2025-04-28,Not Applicable,,Active,Complete,Complete,2026-01-20
EMP-0166,Complete,2021-08-07,Not Applicable,,Active,Complete,Complete,2026-05-06
EMP-0167,Complete,2020-12-25,Not Applicable,,Active,Complete,Complete,2026-01-10
EMP-0168,Complete,2025-06-18,Not Applicable,,Active,Complete,Complete,2026-02-09
EMP-0169,Complete,2022-03-06,Not Applicable,,Active,Complete,Complete,2026-03-11
EMP-0170,Complete,2024-09-05,Not Applicable,,Active,Complete,Complete,2026-01-04
EMP-0171,Complete,2023-04-01,Not Applicable,,Active,Complete,Complete,2026-08-02
EMP-0172,Complete,2025-05-02,Not Applicable,,Active,Complete,Complete,2026-08-18
EMP-0173,Complete,2026-04-24,Not Applicable,,Active,Complete,Complete,2026-06-19
EMP-0174,Complete,2016-02-20,Not Applicable,,Active,Complete,Complete,2026-07-26
EMP-0175,Complete,2024-08-05,Complete,2026-01-29,Inactive,Complete,Complete,2026-05-23
EMP-0176,Complete,2020-05-23,Not Applicable,,Active,Complete,Complete,2026-05-01
EMP-0177,Complete,2023-10-18,Not Applicable,,Active,Complete,Complete,2026-08-01
EMP-0178,Complete,2018-04-02,Not Applicable,,Active,Complete,Complete,2026-01-23
EMP-0179,Complete,2019-06-23,Complete,2019-12-01,Inactive,Complete,Complete,2026-02-16
EMP-0180,Complete,2016-04-21,Not Applicable,,Active,Complete,Complete,2026-04-14
EMP-0181,Complete,2023-05-18,Not Applicable,,Active,Complete,Complete,2026-04-26
EMP-0182,Complete,2019-01-04,Not Applicable,,Active,Complete,Complete,2026-05-22
EMP-0183,Complete,2019-07-08,Not Applicable,,Active,Complete,Complete,2026-01-21
EMP-0184,Complete,2017-10-09,Not Applicable,,Active,Complete,Complete,2026-01-13
EMP-0185,Complete,2021-07-14,Complete,2022-09-23,Inactive,Complete,Complete,2026-08-07
EMP-0186,Complete,2017-07-27,Complete,2018-07-18,Inactive,Complete,Complete,2026-03-26
EMP-0187,Complete,2025-03-20,Not Applicable,,Active,Complete,Complete,2026-01-08
EMP-0188,Complete,2020-12-03,Not Applicable,,Active,Complete,Complete,2026-04-13
EMP-0189,Complete,2019-08-01,Not Applicable,,Active,Complete,Complete,2026-07-15
EMP-0190,Complete,2021-07-10,Not Applicable,,Active,Complete,Complete,2026-01-02
EMP-0191,Complete,2024-07-17,Not Applicable,,Active,Complete,Complete,2026-01-13
EMP-0192,Complete,2023-01-28,Not Applicable,,Active,Complete,Complete,2026-07-23
EMP-0193,Complete,2017-04-08,Not Applicable,,Active,Complete,Complete,2026-07-19
EMP-0194,Complete,2018-07-18,Not Applicable,,Active,Complete,Complete,2026-03-07
EMP-0195,Complete,2016-06-08,Not Applicable,,Active,Pending,Complete,2026-05-03
EMP-0196,Complete,2020-08-11,Not Applicable,,Active,Complete,Complete,2026-06-03
EMP-0197,Complete,2019-04-30,Not Applicable,,Active,Complete,Complete,2026-02-17
EMP-0198,Complete,2023-12-26,Not Applicable,,Active,Complete,Complete,2026-02-10
EMP-0199,Complete,2023-07-22,Not Applicable,,Active,Complete,Complete,2026-08-08
EMP-0200,Complete,2021-06-23,Complete,2024-03-20,Inactive,Complete,Complete,2026-07-25
EMP-0201,Complete,2021-09-04,Not Applicable,,Active,Complete,Complete,2026-04-05
EMP-0202,Complete,2016-09-16,Not Applicable,,Active,Complete,Complete,2026-07-02
EMP-0203,Complete,2019-07-03,Not Applicable,,Active,Complete,Complete,2026-03-06
EMP-0204,Complete,2020-09-19,Not Applicable,,Active,Complete,Complete,2026-04-03
EMP-0205,Complete,2021-09-27,Not Applicable,,Active,Complete,Complete,2026-07-05
EMP-0206,Complete,2016-12-19,Not Applicable,,Active,Complete,Pending,2026-07-28
EMP-0207,Complete,2021-05-25,Not Applicable,,Active,Complete,Complete,2026-06-29
EMP-0208,Complete,2019-02-02,Not Applicable,,Active,Complete,Complete,2026-05-11
EMP-0209,Complete,2022-08-23,Not Applicable,,Active,Complete,Complete,2026-06-10
EMP-0210,Complete,2017-12-01,Not Applicable,,Active,Complete,Complete,2026-06-06
EMP-0211,Complete,2021-12-28,Not Applicable,,Active,Complete,Complete,2026-08-02
EMP-0212,Complete,2019-05-23,Not Applicable,,Active,Complete,Complete,2026-01-28
EMP-0213,Complete,2025-12-04,Not Applicable,,Active,Complete,Complete,2026-02-15
EMP-0214,Complete,2025-05-10,Not Applicable,,Active,Complete,Complete,2026-07-24
EMP-0215,Complete,2020-09-24,Not Applicable,,Active,Complete,Complete,2026-02-21
EMP-0216,Complete,2026-01-06,Not Applicable,,Active,Complete,Complete,2026-05-26
EMP-0217,Complete,2024-06-10,Not Applicable,,Active,Complete,Complete,2026-07-25
EMP-0218,Complete,2018-05-20,Not Applicable,,Active,Complete,Complete,2026-07-21
EMP-0219,Complete,2022-04-24,Not Applicable,,Active,Complete,Complete,2026-04-01
EMP-0220,Complete,2025-02-12,Not Applicable,,Active,Complete,Complete,2026-06-23
EMP-0221,Complete,2024-06-28,Not Applicable,,Active,Complete,Complete,2026-05-05
EMP-0222,Complete,2022-05-13,Not Applicable,,Active,Complete,Complete,2026-06-26
EMP-0223,Complete,2020-04-04,Not Applicable,,Active,Complete,Complete,2026-06-09
EMP-0224,Complete,2022-10-28,Not Applicable,,Active,Complete,Complete,2026-07-20
EMP-0225,Complete,2017-05-10,Not Applicable,,Active,Complete,Complete,2026-07-18
EMP-0226,Complete,2024-12-04,Not Applicable,,Active,Complete,Complete,2026-01-24
EMP-0227,Complete,2020-06-15,Not Applicable,,Active,Complete,Complete,2026-06-05
EMP-0228,Complete,2017-07-05,Not Applicable,,Active,Complete,Complete,2026-08-22
EMP-0229,Complete,2022-11-15,Not Applicable,,Active,Complete,Complete,2026-03-21
EMP-0230,Complete,2017-05-06,Complete,2018-03-14,Inactive,Complete,Complete,2026-08-08
EMP-0231,Complete,2022-05-08,Complete,2024-04-11,Inactive,Complete,Complete,2026-05-11
EMP-0232,Complete,2023-03-16,Not Applicable,,Active,Complete,Complete,2026-05-28
EMP-0233,Complete,2020-12-17,Not Applicable,,Active,Complete,Complete,2026-01-11
EMP-0234,Complete,2018-11-19,Not Applicable,,Active,Complete,Complete,2026-04-17
EMP-0235,Complete,2020-08-10,Not Applicable,,Active,Complete,Complete,2026-04-08
EMP-0236,Complete,2025-09-25,Not Applicable,,Active,Complete,Complete,2026-08-17
EMP-0237,Complete,2016-12-07,Not Applicable,,Active,Complete,Complete,2026-07-08
EMP-0238,Complete,2019-01-04,Not Applicable,,Active,Complete,Complete,2026-02-28
EMP-0239,Complete,2016-03-18,Not Applicable,,Active,Complete,Complete,2026-03-20
EMP-0240,Complete,2025-11-15,Not Applicable,,Active,Complete,Complete,2026-05-23
EMP-0241,Complete,2020-06-11,Not Applicable,,Active,Complete,Complete,2026-06-22
EMP-0242,Complete,2026-01-01,Not Applicable,,Active,Complete,Complete,2026-06-06
EMP-0243,Complete,2016-09-16,Not Applicable,,Active,Complete,Complete,2026-06-09
EMP-0244,Complete,2018-07-04,Complete,2025-06-18,Inactive,Complete,Complete,2026-02-06
EMP-0245,Complete,2025-08-02,Complete,2025-12-02,Inactive,Complete,Complete,2026-01-09
EMP-0246,Complete,2016-05-06,Not Applicable,,Active,Complete,Complete,2026-03-05
EMP-0247,Complete,2017-07-30,Not Applicable,,Active,Complete,Complete,2026-02-02
EMP-0248,Complete,2018-01-22,Not Applicable,,Active,Complete,Complete,2026-07-31
EMP-0249,Complete,2025-03-21,Not Applicable,,Active,Complete,Complete,2026-08-26
EMP-0250,Complete,2018-06-20,Complete,2019-05-09,Inactive,Complete,Complete,2026-07-20
EMP-0251,Complete,2017-02-02,Not Applicable,,Active,Complete,Complete,2026-05-18
EMP-0252,Complete,2016-05-13,Not Applicable,,Active,Complete,Complete,2026-08-07
EMP-0253,Complete,2024-04-14,Not Applicable,,Active,Complete,Complete,2026-03-09
EMP-0254,Complete,2021-05-04,Not Applicable,,Active,Complete,Complete,2026-04-28
EMP-0255,Complete,2020-07-02,Not Applicable,,Active,Complete,Complete,2026-01-23
EMP-0256,Complete,2018-04-13,Not Applicable,,Active,Complete,Complete,2026-02-16
EMP-0257,Complete,2024-07-25,Not Applicable,,Active,Complete,Complete,2026-05-28
EMP-0258,Complete,2025-08-02,Not Applicable,,Active,Complete,Complete,2026-06-08
EMP-0259,Complete,2018-02-16,Not Applicable,,Active,Complete,Complete,2026-05-12
EMP-0260,Complete,2017-11-17,Not Applicable,,Active,Complete,Complete,2026-04-07
EMP-0261,Complete,2026-05-21,Not Applicable,,Active,Complete,Complete,2026-03-23
EMP-0262,Complete,2017-03-11,Not Applicable,,Active,Complete,Complete,2026-08-19
EMP-0263,Complete,2017-06-29,Not Applicable,,Active,Complete,Complete,2026-03-22
EMP-0264,Complete,2022-07-26,Not Applicable,,Active,Complete,Complete,2026-08-07
EMP-0265,Complete,2021-09-19,Not Applicable,,Active,Complete,Complete,2026-07-21
EMP-0266,Complete,2025-12-04,Not Applicable,,Active,Complete,Complete,2026-01-22
EMP-0267,Complete,2019-01-31,Not Applicable,,Active,Complete,Complete,2026-07-08
EMP-0268,Complete,2017-08-10,Not Applicable,,Active,Complete,Complete,2026-08-21
EMP-0269,Complete,2021-11-12,Not Applicable,,Active,Complete,Complete,2026-03-18
EMP-0270,Complete,2022-09-15,Not Applicable,,Active,Complete,Complete,2026-04-22
EMP-0271,Complete,2019-11-17,Not Applicable,,Active,Complete,Complete,2026-01-15
EMP-0272,Complete,2016-09-01,Not Applicable,,Active,Complete,Complete,2026-04-24
EMP-0273,Complete,2018-03-02,Not Applicable,,Active,Complete,Complete,2026-04-03
EMP-0274,Complete,2017-06-12,Not Applicable,,Active,Complete,Complete,2026-04-21
EMP-0275,Complete,2021-09-30,Not Applicable,,Active,Complete,Complete,2026-01-15
EMP-0276,Complete,2023-09-21,Not Applicable,,Active,Complete,Complete,2026-07-23
EMP-0277,Complete,2018-01-26,Not Applicable,,Active,Complete,Complete,2026-03-16
EMP-0278,Complete,2016-05-15,Not Applicable,,Active,Complete,Complete,2026-06-24
EMP-0279,Complete,2021-12-20,Not Applicable,,Active,Pending,Complete,2026-08-01
EMP-0280,Complete,2020-11-25,Not Applicable,,Active,Complete,Complete,2026-06-02
EMP-0281,Complete,2018-08-08,Not Applicable,,Active,Complete,Complete,2026-06-02
EMP-0282,Complete,2023-02-19,Not Applicable,,Active,Complete,Complete,2026-04-15
EMP-0283,Complete,2023-12-29,Not Applicable,,Active,Complete,Complete,2026-02-10
EMP-0284,Complete,2022-05-27,Not Applicable,,Active,Complete,Complete,2026-08-28
EMP-0285,Complete,2023-11-16,Not Applicable,,Active,Complete,Complete,2026-07-27
EMP-0286,Complete,2021-12-15,Not Applicable,,Active,Complete,Complete,2026-04-14
EMP-0287,Complete,2024-08-02,Not Applicable,,Active,Complete,Complete,2026-03-26
EMP-0288,Complete,2026-04-27,Not Applicable,,Active,Complete,Complete,2026-08-25
EMP-0289,Complete,2016-12-05,Not Applicable,,Active,Complete,Complete,2026-08-18
EMP-0290,Complete,2024-06-04,Not Applicable,,Active,Complete,Complete,2026-03-21
EMP-0291,Complete,2023-12-24,Not Applicable,,Active,Complete,Complete,2026-08-07
EMP-0292,Complete,2017-11-19,Not Applicable,,Active,Complete,Complete,2026-01-18
EMP-0293,Complete,2022-03-17,Not Applicable,,Active,Complete,Complete,2026-04-24
EMP-0294,Complete,2019-07-22,Not Applicable,,Active,Complete,Complete,2026-03-16
EMP-0295,Complete,2016-10-29,Not Applicable,,Active,Complete,Complete,2026-06-30
EMP-0296,Complete,2020-03-14,Not Applicable,,Active,Complete,Complete,2026-04-25
EMP-0297,Complete,2022-04-05,Not Applicable,,Active,Complete,Complete,2026-04-14
EMP-0298,Complete,2020-03-19,Complete,2023-02-21,Inactive,Complete,Complete,2026-05-20
EMP-0299,Complete,2020-11-01,Complete,2023-05-28,Inactive,Complete,Complete,2026-08-08
EMP-0300,Complete,2021-12-09,Not Applicable,,Active,Complete,Complete,2026-05-25
EMP-0301,Complete,2021-05-05,Complete,2022-11-02,Inactive,Complete,Complete,2026-01-15
EMP-0302,Complete,2017-04-23,Not Applicable,,Active,Complete,Complete,2026-06-28
EMP-0303,Complete,2021-05-20,Complete,2025-02-02,Inactive,Complete,Complete,2026-06-24
EMP-0304,Complete,2023-08-30,Not Applicable,,Active,Complete,Complete,2026-07-12
EMP-0305,Complete,2021-08-12,Not Applicable,,Active,Complete,Complete,2026-07-09
EMP-0306,Complete,2022-01-24,Not Applicable,,Active,Complete,Complete,2026-02-21
EMP-0307,Complete,2022-11-20,Not Applicable,,Active,Complete,Complete,2026-01-23
EMP-0308,Complete,2025-03-09,Not Applicable,,Active,Complete,Complete,2026-06-27
EMP-0309,Complete,2020-11-28,Not Applicable,,Active,Complete,Complete,2026-01-13
EMP-0310,Complete,2022-01-20,Complete,2022-04-24,Inactive,Complete,Complete,2026-01-05
